Acanthochromis_polyacanthus
Carassius_auratus
Chanos_chanos
Gadus_morhua
Mugil_cephalus
Oncorhynchus_mykiss
Salmo_salar
Thunnus_albacares
Xiphias_gladius
Clupea_harengus
