Aquila_chrysaetos
Accipiter_gentilis
Corvus_brachyrhynchos
Haliaeetus_albicilla
Anas_acuta
Catharus_ustulatus
Pelecanus_crispus
Egretta_garzetta
Struthio_camelus
Chamaea_fasciata
